city_key,city,country,short_description,latitude,longitude,avg_temp_monthly,ideal_durations,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,Category,Approximate Annual Tourists,Famous Foods,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,Cost_index,"Meal, Inexpensive Restaurant",One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Apartment (1 bedroom) in City Centre,Average Monthly Net Salary (After Tax)
tromsø,Tromsø,Norway,"Snow-draped landscapes and vibrant northern lights create a magical atmosphere, while the crisp Arctic air invigorates your senses and spirit.",696.516.345,189.558.585,"{""1"":{""avg"":-2.9,""max"":-0.9,""min"":-5},""2"":{""avg"":-2,""max"":0.1,""min"":-4.2},""3"":{""avg"":-1.6,""max"":1.3,""min"":-4.1},""4"":{""avg"":1.7,""max"":4.5,""min"":-1},""5"":{""avg"":5.9,""max"":9.1,""min"":2.9},""6"":{""avg"":9.8,""max"":13.1,""min"":6.9},""7"":{""avg"":12.9,""max"":16.7,""min"":9.5},""8"":{""avg"":12.2,""max"":15.7,""min"":9.2},""9"":{""avg"":8.8,""max"":11.9,""min"":6.2},""10"":{""avg"":3.7,""max"":5.8,""min"":1.7},""11"":{""avg"":0.9,""max"":2.7,""min"":-1},""12"":{""avg"":-1.4,""max"":0.6,""min"":-3.4}}","[""One week"",""Short trip""]",Luxury,3,4,5,2,3,3,3,3,4,,,,,,,,,,,,,,,
bern,Bern,Switzerland,"Charming cobblestone streets wind through medieval architecture, while the gentle flow of the river creates a serene backdrop for leisurely exploration.",469.484.742,74.521.749,"{""1"":{""avg"":1.5,""max"":4.4,""min"":-1.3},""2"":{""avg"":3.2,""max"":7.6,""min"":-0.6},""3"":{""avg"":5.6,""max"":11.1,""min"":0.4},""4"":{""avg"":9.3,""max"":15.2,""min"":3.6},""5"":{""avg"":13.1,""max"":18.1,""min"":8.5},""6"":{""avg"":18.3,""max"":24,""min"":13},""7"":{""avg"":19.9,""max"":25.7,""min"":14.5},""8"":{""avg"":19.4,""max"":25.2,""min"":14.4},""9"":{""avg"":15.1,""max"":20.6,""min"":10.4},""10"":{""avg"":10.3,""max"":14.9,""min"":6.3},""11"":{""avg"":5,""max"":7.9,""min"":2.3},""12"":{""avg"":2.1,""max"":4.6,""min"":-0.4}}","[""Weekend"",""One week"",""Short trip""]",Luxury,4,3,4,1,3,4,4,4,3,,,,,,,,,,,,,,,
catania,Catania,Italy,"Sun-soaked streets filled with the aroma of fresh seafood, lively markets, and the dramatic backdrop of a smoking volcano create a unique atmosphere.",375.023.612,150.873.718,"{""1"":{""avg"":10.3,""max"":16.2,""min"":4.9},""2"":{""avg"":11.2,""max"":16.7,""min"":5.6},""3"":{""avg"":12.1,""max"":18.5,""min"":6.5},""4"":{""avg"":15.4,""max"":21.1,""min"":9.9},""5"":{""avg"":19.1,""max"":24.6,""min"":13.4},""6"":{""avg"":23.9,""max"":29.2,""min"":18},""7"":{""avg"":27.4,""max"":32.8,""min"":20.9},""8"":{""avg"":27.1,""max"":32.3,""min"":21.2},""9"":{""avg"":24.4,""max"":29.5,""min"":19.3},""10"":{""avg"":20.3,""max"":25.5,""min"":15.5},""11"":{""avg"":15.8,""max"":20.8,""min"":11.3},""12"":{""avg"":11.7,""max"":17.5,""min"":7}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,4,3,3,5,3,3,2,,,,,,,,,55.59,10.0,1.0,30.0,5.0,464.44,1231.57
porto,Porto,Portugal,"Charming riverside streets, vibrant tiles, and the rich aroma of port wine create a warm and inviting atmosphere perfect for leisurely exploration.",411.494.512,-86.107.884,"{""1"":{""avg"":10.2,""max"":14.6,""min"":6.7},""2"":{""avg"":11.4,""max"":15.5,""min"":8.1},""3"":{""avg"":12.7,""max"":17.9,""min"":8.8},""4"":{""avg"":14.1,""max"":18.1,""min"":10.6},""5"":{""avg"":16.4,""max"":20.5,""min"":12.8},""6"":{""avg"":17.9,""max"":21.8,""min"":14.5},""7"":{""avg"":20.1,""max"":24.7,""min"":16.1},""8"":{""avg"":20,""max"":24.7,""min"":15.9},""9"":{""avg"":18.7,""max"":23.5,""min"":15},""10"":{""avg"":16.8,""max"":21,""min"":13.6},""11"":{""avg"":13.2,""max"":16.6,""min"":10.5},""12"":{""avg"":11.4,""max"":15.4,""min"":8.6}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,3,3,4,5,3,4,3,City,2.5 million,"Francesinha, Bacalhau, Pastel de nata",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"Coastal city known for its wine cellars, historic center, and beautiful riverfront.",,,,,,,,
azores,Azores,Portugal,"Lush volcanic landscapes, tranquil ocean vistas, and charming villages create a serene atmosphere perfect for unwinding and connecting with nature.",3.780.855.645,-25.473.137.391.245.200,"{""1"":{""avg"":15.6,""max"":17.1,""min"":14},""2"":{""avg"":15,""max"":16.7,""min"":13.3},""3"":{""avg"":14.6,""max"":17.3,""min"":12.3},""4"":{""avg"":15.8,""max"":17.7,""min"":14},""5"":{""avg"":17.3,""max"":19.4,""min"":15.4},""6"":{""avg"":19.2,""max"":21.5,""min"":17.3},""7"":{""avg"":21.7,""max"":24.1,""min"":19.5},""8"":{""avg"":23,""max"":25.5,""min"":20.9},""9"":{""avg"":22.1,""max"":24.4,""min"":20.2},""10"":{""avg"":19.9,""max"":21.9,""min"":18.2},""11"":{""avg"":17.8,""max"":19.5,""min"":16.2},""12"":{""avg"":16.3,""max"":17.8,""min"":14.4}}","[""Long trip"",""One week"",""Short trip""]",Mid-range,3,4,5,3,2,4,3,2,5,,,,,,,,,,,,,,,
constanta,Constanta,Romania,"Golden beaches meet historic architecture, offering a blend of sun-soaked relaxation and the charm of ancient ruins and lively promenades.",441.767.161,286.507.598,"{""1"":{""avg"":2.9,""max"":6.3,""min"":0},""2"":{""avg"":4.7,""max"":8.2,""min"":1.7},""3"":{""avg"":7,""max"":10.8,""min"":3.9},""4"":{""avg"":11.6,""max"":15.8,""min"":8},""5"":{""avg"":16.8,""max"":20.8,""min"":13.2},""6"":{""avg"":22.2,""max"":26.4,""min"":18.3},""7"":{""avg"":24.5,""max"":28.7,""min"":20.2},""8"":{""avg"":24.8,""max"":28.8,""min"":20.8},""9"":{""avg"":20.6,""max"":24.7,""min"":16.7},""10"":{""avg"":14.8,""max"":18.6,""min"":11.4},""11"":{""avg"":9.5,""max"":13,""min"":6.6},""12"":{""avg"":5.2,""max"":8.7,""min"":2.4}}","[""Weekend"",""Short trip""]",Budget,3,3,3,4,3,4,3,3,2,,,,,,,,,,,,,,,
madrid,Madrid,Spain,"Vibrant streets filled with lively tapas bars, stunning architecture, and a rich tapestry of history create an inviting and energetic atmosphere.",404.167.047,-37.035.825,"{""1"":{""avg"":6.6,""max"":10.6,""min"":3},""2"":{""avg"":8.6,""max"":13.2,""min"":4.5},""3"":{""avg"":11.3,""max"":16,""min"":6.4},""4"":{""avg"":14,""max"":19.4,""min"":8.8},""5"":{""avg"":18.8,""max"":24.7,""min"":12.6},""6"":{""avg"":23.8,""max"":29.9,""min"":17.3},""7"":{""avg"":28.3,""max"":34.6,""min"":20.8},""8"":{""avg"":27.2,""max"":33.6,""min"":20.4},""9"":{""avg"":21.1,""max"":26.9,""min"":16.1},""10"":{""avg"":16.4,""max"":21,""min"":12.2},""11"":{""avg"":10.5,""max"":14.3,""min"":7.1},""12"":{""avg"":8,""max"":11.6,""min"":4.8}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,5,3,2,1,5,5,3,5,2,City,7 million,"Tapas, Tortilla Espa¤ola, Jam¢n Ibrico",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",59.02,12.0,1.5,54.8,3.0,992.79,1639.67
nantes,Nantes,France,"A city where historic charm meets modern creativity, with cobblestone streets, vibrant art scenes, and the gentle flow of the Loire River.",472.186.371,-15.541.362,"{""1"":{""avg"":6.4,""max"":9.5,""min"":3.4},""2"":{""avg"":7.4,""max"":11.4,""min"":4},""3"":{""avg"":9.3,""max"":13.9,""min"":5.4},""4"":{""avg"":11.9,""max"":17.2,""min"":6.8},""5"":{""avg"":15.1,""max"":20.5,""min"":10.1},""6"":{""avg"":18.6,""max"":24.2,""min"":13.6},""7"":{""avg"":20.2,""max"":26.1,""min"":14.8},""8"":{""avg"":19.9,""max"":26.1,""min"":14.7},""9"":{""avg"":17.3,""max"":23.2,""min"":12.5},""10"":{""avg"":13.8,""max"":18.5,""min"":9.9},""11"":{""avg"":9.5,""max"":13.5,""min"":6.2},""12"":{""avg"":7.7,""max"":10.8,""min"":4.9}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,2,3,2,3,4,3,4,3,,,,,,,,,68.66,12.89,1.7,60.7,4.5,536.25,1868.75
ljubljana,Ljubljana,Slovenia,"Charming cobblestone streets, vibrant riverfront cafés, and lush green spaces offer a welcoming atmosphere that's both lively and relaxing.",460.500.268,145.069.289,"{""1"":{""avg"":1.6,""max"":5.3,""min"":-1.3},""2"":{""avg"":4.3,""max"":8.9,""min"":0.7},""3"":{""avg"":7.3,""max"":13.1,""min"":2.4},""4"":{""avg"":11.7,""max"":17.8,""min"":6.3},""5"":{""avg"":15.8,""max"":21.3,""min"":10.9},""6"":{""avg"":21.2,""max"":27.3,""min"":15.6},""7"":{""avg"":23,""max"":29.3,""min"":17.3},""8"":{""avg"":22.3,""max"":28.7,""min"":16.9},""9"":{""avg"":16.9,""max"":22.9,""min"":12.5},""10"":{""avg"":12.3,""max"":17.4,""min"":8.7},""11"":{""avg"":6.7,""max"":10.3,""min"":4},""12"":{""avg"":2.3,""max"":5.5,""min"":-0.3}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,4,1,3,4,3,4,3,,,,,,,,,54.69,8.5,1.3,37.0,1.0,597.31,1184.69
menorca,Menorca,Spain,"Golden beaches meet turquoise waters, offering a tranquil escape with gentle breezes, charming villages, and the scent of pine forests in the air.",39.949.257.200.000.000,40.499.641.751.186.400,"{""1"":{""avg"":11.1,""max"":14.9,""min"":7.2},""2"":{""avg"":11.2,""max"":15.1,""min"":7},""3"":{""avg"":12.5,""max"":16.8,""min"":8.6},""4"":{""avg"":14.5,""max"":19.1,""min"":10.3},""5"":{""avg"":18.1,""max"":22.8,""min"":13.8},""6"":{""avg"":22.6,""max"":27.7,""min"":18.1},""7"":{""avg"":25.7,""max"":30.7,""min"":21.2},""8"":{""avg"":25.7,""max"":30.4,""min"":21.4},""9"":{""avg"":22.8,""max"":27.6,""min"":19.4},""10"":{""avg"":19.5,""max"":23.5,""min"":15.9},""11"":{""avg"":15.2,""max"":18.9,""min"":11.5},""12"":{""avg"":12.6,""max"":16.5,""min"":8.6}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,3,3,4,5,3,4,4,2,4,,,,,,,,,,,,,,,
istanbul,Istanbul,Turkey,"A captivating blend of East and West, with vibrant bazaars, aromatic spices, historic mosques, and the serene Bosphorus weaving through daily life.",41.006.381,289.758.715,"{""1"":{""avg"":7.4,""max"":9.8,""min"":4.8},""2"":{""avg"":7.6,""max"":10.4,""min"":4.8},""3"":{""avg"":9.6,""max"":12.9,""min"":6.6},""4"":{""avg"":13.5,""max"":17.5,""min"":9.8},""5"":{""avg"":17.9,""max"":21.9,""min"":14.5},""6"":{""avg"":23.3,""max"":27.2,""min"":19.7},""7"":{""avg"":26.1,""max"":30.3,""min"":22.4},""8"":{""avg"":26.4,""max"":30.4,""min"":23.1},""9"":{""avg"":22.9,""max"":26.5,""min"":19.6},""10"":{""avg"":17.8,""max"":21,""min"":14.7},""11"":{""avg"":13.9,""max"":16.7,""min"":11.1},""12"":{""avg"":9.7,""max"":12.1,""min"":7.2}}","[""Long trip"",""One week"",""Short trip""]",Mid-range,5,3,3,2,4,5,3,5,2,City,15 million,"Kebab, Baklava, Dolma",Spring (Apr-May) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of pickpockets",Historic city straddling Europe and Asia with significant landmarks.,"A historic city straddling Europe and Asia, known for its Hagia Sophia, Blue Mosque, and Grand Bazaar.",,,,,,,
seville,Seville,Spain,"Sun-drenched plazas, the aroma of orange blossoms, and the passionate rhythm of flamenco create an enchanting and lively atmosphere.",373.886.303,-59.953.403,"{""1"":{""avg"":10.5,""max"":16.6,""min"":5.9},""2"":{""avg"":12.5,""max"":18.9,""min"":7.5},""3"":{""avg"":14.9,""max"":21,""min"":8.9},""4"":{""avg"":17.5,""max"":23.8,""min"":11.8},""5"":{""avg"":21.6,""max"":28.7,""min"":15.1},""6"":{""avg"":24.9,""max"":32,""min"":18.3},""7"":{""avg"":28,""max"":35.8,""min"":21},""8"":{""avg"":28.3,""max"":36.1,""min"":21.3},""9"":{""avg"":24.6,""max"":31.8,""min"":18.5},""10"":{""avg"":20.7,""max"":27.2,""min"":15.6},""11"":{""avg"":14.9,""max"":20.9,""min"":10.4},""12"":{""avg"":12,""max"":17.9,""min"":7.7}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,5,3,2,1,4,5,3,4,2,City,3.5 million,"Tapas, Gazpacho, Flamenco",Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A historic city famous for its Moorish architecture, flamenco dancing, and vibrant festivals.","The heart of Andalusian culture, with stunning landmarks like the Alc zar and the Seville Cathedral.",,,,,,,
belfast,Belfast,United Kingdom,"Cozy pubs, historic streets, and the lively spirit of its people create an inviting and culturally rich atmosphere full of stories.",54.596.391,-59.301.829,"{""1"":{""avg"":5.4,""max"":7.7,""min"":3},""2"":{""avg"":5.8,""max"":8.3,""min"":3.2},""3"":{""avg"":6.3,""max"":10.3,""min"":3.8},""4"":{""avg"":8.4,""max"":12.1,""min"":5.2},""5"":{""avg"":11.7,""max"":15.9,""min"":8.2},""6"":{""avg"":14.3,""max"":18.2,""min"":11.3},""7"":{""avg"":15.4,""max"":18.8,""min"":12.4},""8"":{""avg"":15.4,""max"":18.7,""min"":12.4},""9"":{""avg"":13.6,""max"":16.7,""min"":10.8},""10"":{""avg"":10.8,""max"":13.7,""min"":8.1},""11"":{""avg"":7.8,""max"":10.3,""min"":5.3},""12"":{""avg"":6.6,""max"":8.8,""min"":4.3}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,3,2,3,4,3,4,2,,,,,,,,,,,,,,,
odessa,Odessa,Ukraine,"Charming cobblestone streets, lively markets, and the gentle sea breeze create a relaxed yet vibrant atmosphere perfect for unwinding and exploring.",464.843.023,307.322.878,"{""1"":{""avg"":0.6,""max"":3.8,""min"":-2.2},""2"":{""avg"":2.3,""max"":5.5,""min"":-0.8},""3"":{""avg"":5.6,""max"":9.3,""min"":2.3},""4"":{""avg"":10.6,""max"":14.2,""min"":6.8},""5"":{""avg"":16.1,""max"":20,""min"":11.9},""6"":{""avg"":22,""max"":26.7,""min"":17.6},""7"":{""avg"":24.2,""max"":29.4,""min"":19.5},""8"":{""avg"":24.5,""max"":29.5,""min"":19.6},""9"":{""avg"":19.3,""max"":23.9,""min"":14.9},""10"":{""avg"":12.9,""max"":16.7,""min"":9.2},""11"":{""avg"":7,""max"":10,""min"":4.2},""12"":{""avg"":3.1,""max"":5.7,""min"":0.6}}","[""Weekend"",""One week"",""Short trip""]",Budget,4,3,3,4,4,4,3,4,2,City,1 million,"Borscht, Varenyky, Salo",Spring (May-June) or Fall (Sep-Oct),Medium,"Generally safe, but be aware of potential risks",Coastal city known for beaches and vibrant nightlife.,"A coastal city on the Black Sea, known for its beaches, opera house, and vibrant nightlife.",,,,,,,
kyiv,Kyiv,Ukraine,"Strolling through lively squares and historic streets, you'll feel the vibrant energy of a city rich in culture and warm hospitality.",504.500.336,305.241.361,"{""1"":{""avg"":-2,""max"":0.4,""min"":-4.5},""2"":{""avg"":-0.6,""max"":2.2,""min"":-3.6},""3"":{""avg"":4.2,""max"":8.1,""min"":1.3},""4"":{""avg"":10.3,""max"":15.4,""min"":5.4},""5"":{""avg"":15.5,""max"":20.8,""min"":10},""6"":{""avg"":21,""max"":26.4,""min"":15.6},""7"":{""avg"":21.8,""max"":27.2,""min"":16.6},""8"":{""avg"":21.8,""max"":27.8,""min"":16.1},""9"":{""avg"":16.5,""max"":22.2,""min"":11.5},""10"":{""avg"":9.5,""max"":14,""min"":5.7},""11"":{""avg"":3.2,""max"":5.7,""min"":0.8},""12"":{""avg"":0,""max"":2,""min"":-2}}","[""Weekend"",""One week"",""Short trip""]",Budget,4,3,3,1,4,4,3,4,2,City,3.5 million,"Borscht, Varenyky, Salo",Spring (May-June) or Fall (Sep-Oct),Medium-high,"Generally safe, but be aware of ongoing conflict",Capital city known for historic architecture and vibrant culture.,"The capital city, known for its historic architecture, museums, and vibrant culture.",,,,,,,
gdansk,Gdansk,Poland,"Charming cobblestone streets and vibrant maritime history meet the salty breeze of the Baltic, creating a welcoming and lively coastal atmosphere.",5.442.880.315,1.879.832.701.217.950,"{""1"":{""avg"":0.8,""max"":2.6,""min"":-1},""2"":{""avg"":1.8,""max"":4.1,""min"":-0.5},""3"":{""avg"":4.5,""max"":7.5,""min"":1.5},""4"":{""avg"":7.1,""max"":10.9,""min"":3.5},""5"":{""avg"":12,""max"":15.8,""min"":8},""6"":{""avg"":17.4,""max"":21.5,""min"":13.2},""7"":{""avg"":18.5,""max"":22.3,""min"":14.8},""8"":{""avg"":19,""max"":22.9,""min"":15},""9"":{""avg"":15.1,""max"":19,""min"":11.4},""10"":{""avg"":10,""max"":12.9,""min"":7.2},""11"":{""avg"":5.4,""max"":7.2,""min"":3.4},""12"":{""avg"":2.3,""max"":3.9,""min"":0.5}}","[""Short trip"",""Weekend""]",Mid-range,4,2,3,3,3,4,3,4,2,,,,,,,,,,,,,,,
svalbard,Svalbard,Norway,"Vast, icy landscapes and the ethereal glow of the northern lights create a surreal, almost otherworldly experience, inviting deep reflection and awe.",787.198.519,203.493.328,"{""1"":{""avg"":-11.1,""max"":-8.3,""min"":-13.9},""2"":{""avg"":-9.5,""max"":-6.7,""min"":-12.3},""3"":{""avg"":-8,""max"":-5.5,""min"":-10.5},""4"":{""avg"":-11.1,""max"":-8.3,""min"":-14.4},""5"":{""avg"":-4.2,""max"":-2.2,""min"":-6.3},""6"":{""avg"":1.4,""max"":3,""min"":-0.2},""7"":{""avg"":5.3,""max"":7.3,""min"":3.2},""8"":{""avg"":4.4,""max"":6,""min"":2.8},""9"":{""avg"":1.1,""max"":2.5,""min"":-0.5},""10"":{""avg"":-2.6,""max"":-1.2,""min"":-4.2},""11"":{""avg"":-6.7,""max"":-4.6,""min"":-8.8},""12"":{""avg"":-8.2,""max"":-5.8,""min"":-10.9}}","[""One week"",""Long trip""]",Luxury,2,5,5,1,1,2,2,1,5,,,,,,,,,,,,,,,
lapland,Lapland,Finland,"Snow-draped landscapes, shimmering northern lights, and cozy log cabins create a magical atmosphere perfect for winter adventures and quiet reflection.",6.769.291.045,26.728.214.183.162.900,"{""1"":{""avg"":-13,""max"":-8.6,""min"":-18},""2"":{""avg"":-10,""max"":-6,""min"":-14.8},""3"":{""avg"":-6.1,""max"":-1,""min"":-11.4},""4"":{""avg"":-0.3,""max"":4.5,""min"":-5.4},""5"":{""avg"":6.6,""max"":11.6,""min"":1.3},""6"":{""avg"":13,""max"":18,""min"":7.8},""7"":{""avg"":15.7,""max"":20.7,""min"":10.6},""8"":{""avg"":13.3,""max"":18.2,""min"":8.7},""9"":{""avg"":8.1,""max"":12.1,""min"":4.4},""10"":{""avg"":0.5,""max"":3.2,""min"":-2.2},""11"":{""avg"":-5.2,""max"":-2.5,""min"":-8.4},""12"":{""avg"":-9.1,""max"":-5.5,""min"":-13.7}}","[""Short trip"",""One week"",""Long trip""]",Luxury,3,4,5,1,2,3,3,2,5,Region,500,"Kttbullar, Fika, Jansson's Temptation","Winter (Dec-Mar) for Northern Lights, Summer (Jun-Aug) for hiking",Medium-high,Generally safe,"Northernmost region, known for Arctic landscapes, Northern Lights, and reindeer.","The northernmost region of Sweden, known for its Arctic landscapes, Northern Lights, and reindeer.",,,,,,,
lviv,Lviv,Ukraine,"Cobblestone streets, charming coffeehouses, and a rich tapestry of history and culture create a warm and inviting atmosphere for exploration.",49.841.952,240.315.921,"{""1"":{""avg"":-1.2,""max"":1.6,""min"":-4.6},""2"":{""avg"":0.5,""max"":4,""min"":-3.6},""3"":{""avg"":3.5,""max"":8.2,""min"":-2.4},""4"":{""avg"":9,""max"":14.8,""min"":3.2},""5"":{""avg"":13.9,""max"":19.3,""min"":8},""6"":{""avg"":18.6,""max"":24.5,""min"":12.9},""7"":{""avg"":19.6,""max"":25.6,""min"":13.9},""8"":{""avg"":19.8,""max"":26.4,""min"":13.7},""9"":{""avg"":14.9,""max"":20.7,""min"":9.7},""10"":{""avg"":9.2,""max"":14.4,""min"":4.8},""11"":{""avg"":3.8,""max"":7.1,""min"":0.5},""12"":{""avg"":0.6,""max"":3.1,""min"":-2.3}}","[""Weekend"",""One week"",""Short trip""]",Budget,5,2,3,1,3,4,3,3,3,City,2 million,"Borscht, Varenyky, Salo",Spring (May-June) or Fall (Sep-Oct),Medium,Generally safe,Historic city known for medieval architecture and lively atmosphere.,"A historic city known for its medieval architecture, coffee shops, and vibrant atmosphere.",,,,,,,
ronda,Ronda,Spain,Dramatic cliffs and a historic stone bridge create a breathtaking backdrop for wandering cobblestone streets and savoring local wines in sunlit plazas.,367.421.339,-51.665.916,"{""1"":{""avg"":10.1,""max"":16.3,""min"":4.3},""2"":{""avg"":11.8,""max"":19,""min"":5.6},""3"":{""avg"":13.7,""max"":21.5,""min"":7.1},""4"":{""avg"":16.6,""max"":23.3,""min"":10},""5"":{""avg"":20.6,""max"":29.1,""min"":13.1},""6"":{""avg"":24.1,""max"":32.2,""min"":16.2},""7"":{""avg"":27.8,""max"":36.1,""min"":19.3},""8"":{""avg"":28.1,""max"":36.5,""min"":20.2},""9"":{""avg"":24.2,""max"":31.7,""min"":17.5},""10"":{""avg"":20.3,""max"":27.2,""min"":14.1},""11"":{""avg"":14.4,""max"":20.5,""min"":9.1},""12"":{""avg"":11.6,""max"":17.5,""min"":6.4}}","[""Weekend"",""Short trip"",""Day trip""]",Mid-range,4,3,4,1,2,4,3,2,4,,,,,,,,,,,,,,,
london,London,United Kingdom,"Iconic landmarks, bustling markets, and a rich tapestry of culture create a vibrant atmosphere that feels both historic and ever-evolving.",514.893.335,-0.14405508452768728,"{""1"":{""avg"":4.6,""max"":7.3,""min"":1.9},""2"":{""avg"":6.1,""max"":8.8,""min"":3.4},""3"":{""avg"":8.1,""max"":12,""min"":4.4},""4"":{""avg"":9.6,""max"":13.8,""min"":5.6},""5"":{""avg"":13,""max"":17.4,""min"":8.6},""6"":{""avg"":16.5,""max"":21,""min"":11.9},""7"":{""avg"":18.2,""max"":22.7,""min"":13.6},""8"":{""avg"":17.7,""max"":22.1,""min"":13.5},""9"":{""avg"":15.2,""max"":19.3,""min"":11.3},""10"":{""avg"":12,""max"":15.1,""min"":9},""11"":{""avg"":7.9,""max"":10.4,""min"":5.3},""12"":{""avg"":6.9,""max"":8.9,""min"":4.8}}","[""Long trip"",""One week"",""Short trip""]",Luxury,5,2,3,1,5,5,3,5,2,City,25 million,"Fish and chips, Sunday roast, Afternoon tea",Spring (April-May) or Fall (Sep-Oct),High,"Generally safe, but be aware of pickpockets","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.","The capital city, known for its Buckingham Palace, Big Ben, and Tower of London.",,,,,,,
cornwall,Cornwall,United Kingdom,"Rugged coastlines, charming villages, and sweeping beaches offer a sense of tranquility and timeless beauty, perfect for unwinding and exploring.",50.443.348.900.000.000,-462.465.658.489.158,"{""1"":{""avg"":7.1,""max"":9.1,""min"":5},""2"":{""avg"":8.1,""max"":10.1,""min"":5.9},""3"":{""avg"":9,""max"":11,""min"":7},""4"":{""avg"":10,""max"":12.9,""min"":7.2},""5"":{""avg"":12.6,""max"":15.5,""min"":9.7},""6"":{""avg"":15.1,""max"":17.8,""min"":12.4},""7"":{""avg"":16.8,""max"":19.6,""min"":14.1},""8"":{""avg"":17.1,""max"":19.6,""min"":14.7},""9"":{""avg"":15.7,""max"":18.2,""min"":13.2},""10"":{""avg"":13,""max"":15.1,""min"":10.9},""11"":{""avg"":10.4,""max"":12,""min"":8.6},""12"":{""avg"":9.1,""max"":10.6,""min"":7.4}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,3,4,5,5,2,3,3,2,4,,,,,,,,,,,,,,,
split,Split,Croatia,Wander through ancient stone streets where the Adriatic breeze mingles with lively chatter and the scent of fresh seafood from bustling markets.,435.116.383,164.399.659,"{""1"":{""avg"":8.6,""max"":10.9,""min"":6.2},""2"":{""avg"":10.1,""max"":12.8,""min"":7.5},""3"":{""avg"":11.7,""max"":15,""min"":8.8},""4"":{""avg"":15.4,""max"":18.8,""min"":11.9},""5"":{""avg"":20,""max"":23.4,""min"":16.4},""6"":{""avg"":25.4,""max"":29.1,""min"":21.3},""7"":{""avg"":28.4,""max"":32.3,""min"":24},""8"":{""avg"":28,""max"":32,""min"":24},""9"":{""avg"":22.9,""max"":26.5,""min"":19.5},""10"":{""avg"":18.4,""max"":21.3,""min"":15.5},""11"":{""avg"":13.9,""max"":16.3,""min"":11.4},""12"":{""avg"":10.4,""max"":12.7,""min"":8.2}}","[""Short trip"",""Weekend"",""One week""]",Mid-range,4,3,4,4,4,4,3,3,3,,,,,,,,,,,,,,,
florence,Florence,Italy,"Cobblestone streets filled with art, the aroma of fresh espresso, and vibrant piazzas create a captivating blend of history and modern life.",437.697.955,112.556.404,"{""1"":{""avg"":6.8,""max"":11.3,""min"":2.9},""2"":{""avg"":9.4,""max"":14.7,""min"":4.8},""3"":{""avg"":11.7,""max"":17.3,""min"":6.3},""4"":{""avg"":14,""max"":19.9,""min"":8.3},""5"":{""avg"":18.2,""max"":23.7,""min"":12.7},""6"":{""avg"":23.4,""max"":29.7,""min"":16.9},""7"":{""avg"":26.6,""max"":33.6,""min"":19.4},""8"":{""avg"":26.7,""max"":33.8,""min"":19.6},""9"":{""avg"":22.2,""max"":28.6,""min"":16.2},""10"":{""avg"":16.7,""max"":22.4,""min"":12},""11"":{""avg"":11.9,""max"":16.4,""min"":7.8},""12"":{""avg"":8.2,""max"":12.3,""min"":4.5}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,5,2,3,1,3,5,3,4,2,City,10 million,"Pizza, Pasta, Gelato",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","A Renaissance city famous for its art, architecture, and historical significance.","Home to world-class museums, including the Uffizi Gallery and Michelangelo?s David.",68.09,15.0,1.5,35.0,4.0,819.55,1373.73
